Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
34.025 Solarstromanlage Schrägdach1,34.025 Solarstromanlage Schrägdach1,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,2090000,2090000,,392,392,,3570,3570,,1000,1000,,kWp,maxPower,,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,KBOB 2022 V4
34.026 Solarstromanlage Flachdach1,34.026 Solarstromanlage Flachdach1,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,2370000,2370000,,439,439,,4060,4060,,1140,1140,,kWp,maxPower,,D00BA00E-D63B-4109-ADC0-4D9A3367734D,KBOB 2022 V4
34.027 Solarstromanlage Fassade1,34.027 Solarstromanlage Fassade1,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,2890000,2890000,,490,490,,4430,4430,,1220,1220,,kWp,maxPower,,8873B601-8644-4FF4-B2CF-042546B8500D,KBOB 2022 V4
"34.027.01 Fassadenunterkonstruktion, integriert, Eternit","34.027.01 Fassadenunterkonstruktion, integriert, Eternit",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,5860,5810,44,4.15,4.15,0.000096,11.9,11.9,0.003,2.69,2.65,0.0422,m2,collectorArea,,EC993875-136D-4857-B06E-BB581EA9DA43,KBOB 2022 V4
"34.027.02 Fassadenunterkonstruktion, integriert, StoVentec Artline inlay","34.027.02 Fassadenunterkonstruktion, integriert, StoVentec Artline inlay",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,60300,60200,99.7,20.9,20.9,0.000218,121,121,0.0068,28.5,28.4,0.0956,m2,collectorArea,,08C9C771-82D9-4925-8E06-39A4367A8370,KBOB 2022 V4
"34.027.03 Fassadenunterkonstruktion, integriert, StoVentec Artline invisible","34.027.03 Fassadenunterkonstruktion, integriert, StoVentec Artline invisible",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,83600,83500,99.7,31.6,31.6,0.000218,167,167,0.0068,39.1,39,0.0956,m2,collectorArea,,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,KBOB 2022 V4
"34.027.04 Fassadenunterkonstruktion, integriert, mittelformatig, GFT","34.027.04 Fassadenunterkonstruktion, integriert, mittelformatig, GFT",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,85300,84100,1270,33.1,33.1,0.0036,184,184,0.0948,42.1,40.9,1.22,m2,collectorArea,,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,KBOB 2022 V4
"34.027.05 Fassadenunterkonstruktion, integriert, Vogelsang","34.027.05 Fassadenunterkonstruktion, integriert, Vogelsang",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,32500,31900,586,79.5,79.4,0.00128,53.5,53.5,0.04,14.5,13.9,0.563,m2,collectorArea,,45BEA46B-47E9-425F-926C-AEB31CB4A09D,KBOB 2022 V4
"34.027.06 Fassadenunterkonstruktion, integriert, Betonuntergrund, Ecolite","34.027.06 Fassadenunterkonstruktion, integriert, Betonuntergrund, Ecolite",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,99800,98600,1200,38.3,38.3,0.00263,222,222,0.082,50.1,49,1.15,m2,collectorArea,,38A83C73-92BD-492B-B435-97332A84863E,KBOB 2022 V4
"34.027.07 Fassadenunterkonstruktion, integriert, Backsteinuntergrund, Ecolite","34.027.07 Fassadenunterkonstruktion, integriert, Backsteinuntergrund, Ecolite",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,117000,115000,1790,44.1,44.1,0.00392,261,261,0.122,59.4,57.7,1.72,m2,collectorArea,,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,KBOB 2022 V4
"34.027.08 Fassadenunterkonstruktion, integriert, Durchschnitt, Ecolite","34.027.08 Fassadenunterkonstruktion, integriert, Durchschnitt, Ecolite",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,110000,109000,1550,41.8,41.8,0.0034,245,245,0.106,55.7,54.2,1.49,m2,collectorArea,,a3868d35-8eaf-47d0-be53-2f7e988a1cce,KBOB 2022 V4
"34.027.09 Solarpanel, Mono-Si, Eternit Sunskin Facade, 18.0%","34.027.09 Solarpanel, Mono-Si, Eternit Sunskin Facade, 18.0%",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,241000,234000,7400,43.7,43.1,0.546,466,458,8.31,132,126,5.39,m2,collectorArea,,3c956888-cdbf-42fa-8759-172ed1f7822d,KBOB 2022 V4
"34.027.10 Solarpanel, Mono-Si, Kioto Solar PVP-GExxxM, 12.5%","34.027.10 Solarpanel, Mono-Si, Kioto Solar PVP-GExxxM, 12.5%",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,243000,235000,7870,43.8,43.2,0.58,468,459,8.83,133,127,5.73,m2,collectorArea,,B787C33A-9D88-414E-84DE-3E087E3639ED,KBOB 2022 V4
