Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.minergie.eco.MepClassification,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration (KBOB.2022v5),31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,715000.000000,715000.000000,,153.000000,153.000000,,1300.000000,1300.000000,,343.000000,343.000000,,m2,collectorArea,0,c76bc41b-0c38-4c87-9763-094c24492e42,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher (KBOB.2022v5),31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,769000.000000,769000.000000,,169.000000,169.000000,,1380.000000,1380.000000,,369.000000,369.000000,,m2,collectorArea,0,ae61f436-618d-45ed-b2a3-2b09b2e8c35d,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF (KBOB.2022v5)","32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,34200.000000,33600.000000,591.000000,4.520000,4.510000,0.009720,50.500000,50.300000,0.144000,15.000000,14.600000,0.338000,m2,energyReferenceArea,0,e4fe6828-ae2f-4171-8797-1c452a44e9cb,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF (KBOB.2022v5)","32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,46100.000000,45300.000000,828.000000,6.080000,6.070000,0.013200,68.200000,68.000000,0.198000,20.200000,19.700000,0.475000,m2,energyReferenceArea,0,395dfa3e-b1b6-4023-9bf2-89f71c34ba55,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF (KBOB.2022v5)","32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,69900.000000,68600.000000,1300.000000,9.190000,9.170000,0.020200,104.000000,103.000000,0.306000,30.600000,29.800000,0.748000,m2,energyReferenceArea,0,5ecd5719-455c-4f94-a425-6d53871c374e,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF (KBOB.2022v5)","32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,93700.000000,91900.000000,1770.000000,12.300000,12.300000,0.027200,139.000000,139.000000,0.414000,41.000000,40.000000,1.020000,m2,energyReferenceArea,0,03b18a1a-ea2f-4893-91d7-232d6c0dbe5e,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.012 Lüftungsanlage, spez. Luftmenge 8 m3/hm2 EBF (KBOB.2022v5)","32.012 Lüftungsanlage, spez. Luftmenge 8 m3/hm2 EBF (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,117000.000000,115000.000000,2250.000000,15.400000,15.400000,0.034200,174.000000,174.000000,0.522000,51.400000,50.100000,1.290000,m2,energyReferenceArea,0,42e1c28c-95a8-43ee-ae9a-0bf1175d7980,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.001 Lüftungsanlage Wohnen, Blechkanäle, inkl. Küchenabluft (KBOB.2022v5)","32.001 Lüftungsanlage Wohnen, Blechkanäle, inkl. Küchenabluft (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,41400.000000,41000.000000,361.000000,4.260000,4.250000,0.005490,49.700000,49.600000,0.067400,14.100000,13.800000,0.298000,m2,energyReferenceArea,0,3d01311f-bce0-4e29-bfab-e1971a21410d,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.002 Lüftungsanlage Wohnen, PE-Kanäle, inkl. Küchenabluft (KBOB.2022v5)","32.002 Lüftungsanlage Wohnen, PE-Kanäle, inkl. Küchenabluft (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,21300.000000,20600.000000,781.000000,2.520000,2.510000,0.003420,30.700000,30.600000,0.061900,8.250000,7.530000,0.723000,m2,energyReferenceArea,0,7a17dc11-ba34-4e71-9b81-43b85add04f2,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
32.003 Abluftanlage Küche und Bad (KBOB.2022v5),32.003 Abluftanlage Küche und Bad (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,11500.000000,11300.000000,175.000000,1.170000,1.170000,0.000263,13.800000,13.700000,0.007930,3.640000,3.520000,0.125000,m2,energyReferenceArea,0,645717a2-e9cc-44f3-be97-b3ae40ee9007,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
32.004 Erdregister zu Lüftungsanlage Wohnen (KBOB.2022v5),32.004 Erdregister zu Lüftungsanlage Wohnen (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,6870.000000,4590.000000,2280.000000,0.609000,0.536000,0.072500,15.300000,14.200000,1.060000,4.430000,2.810000,1.620000,m2,energyReferenceArea,0,4c70ecba-4236-456c-ad4f-a9c1af79f860,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
32.008 Erdregister kurz zu Lüftungsanlage Büro (0.27 m/m2 EBF) (KBOB.2022v5),32.008 Erdregister kurz zu Lüftungsanlage Büro (0.27 m/m2 EBF) (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,11900.000000,7960.000000,3950.000000,1.060000,0.930000,0.126000,26.500000,24.700000,1.840000,7.670000,4.870000,2.810000,m2,energyReferenceArea,0,52d5a2c2-5c73-4764-b968-ce9d2f11251f,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
32.009 Erdregister lang zu Lüftungsanlage Büro (0.67 m/m2 EBF) (KBOB.2022v5),32.009 Erdregister lang zu Lüftungsanlage Büro (0.67 m/m2 EBF) (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,29800.000000,19900.000000,9880.000000,2.640000,2.320000,0.314000,66.200000,61.600000,4.590000,19.200000,12.200000,7.020000,m2,energyReferenceArea,0,76d83bec-2ab8-4775-97c5-81fccaab766d,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"32.010 Einzelraumlüfer Fenstermodell 10-30 m3/h, ohne Montage (KBOB.2022v5)","32.010 Einzelraumlüfer Fenstermodell 10-30 m3/h, ohne Montage (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,ventilation,,84200.000000,78100.000000,6130.000000,107.000000,106.000000,0.078700,214.000000,213.000000,1.330000,43.700000,38.200000,5.480000,Stk.,device,0,efafc2f6-8bd1-4d35-89b0-04deff6620b2,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"33.001 Sanitäranlagen, Büro, einfach, inkl. Apparate und Leitungen (KBOB.2022v5)","33.001 Sanitäranlagen, Büro, einfach, inkl. Apparate und Leitungen (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,sanitary,,8490.000000,7280.000000,1200.000000,1.200000,1.200000,0.006580,19.100000,19.000000,0.115000,4.730000,3.580000,1.150000,m2,energyReferenceArea,0,b60b6657-8c44-4d7a-b939-8b4509f1de9b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"33.002 Sanitäranlagen, Büro, aufwändig, inkl. Apparate und Leitungen (KBOB.2022v5)","33.002 Sanitäranlagen, Büro, aufwändig, inkl. Apparate und Leitungen (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,sanitary,,21000.000000,17000.000000,3950.000000,3.370000,3.350000,0.020500,45.600000,45.100000,0.427000,12.300000,8.520000,3.760000,m2,energyReferenceArea,0,61b56ba6-7617-4f37-8e69-449bdff80954,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"33.003 Sanitäranlagen, Wohnen, inkl. Apparate und Leitungen (KBOB.2022v5)","33.003 Sanitäranlagen, Wohnen, inkl. Apparate und Leitungen (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,sanitary,,26300.000000,24700.000000,1670.000000,3.960000,3.930000,0.023400,46.100000,45.800000,0.283000,12.500000,11.000000,1.540000,m2,energyReferenceArea,0,2f3072ee-186f-41b6-8dd0-08ec47723547,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.037 Batterie, Li-Ionen, 5 kWh, 30 Jahre Nutzungsdauer (KBOB.2022v5)","34.037 Batterie, Li-Ionen, 5 kWh, 30 Jahre Nutzungsdauer (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2100000.000000,2100000.000000,,228.000000,228.000000,,3290.000000,3290.000000,,730.000000,730.000000,,kWh,storageCapacity,0,82ba87f6-e3c8-4a2f-9f12-297a53a4c9e8,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.038 Batterie, Li-Ionen, 20 kWh, 30 Jahre Nutzungsdauer (KBOB.2022v5)","34.038 Batterie, Li-Ionen, 20 kWh, 30 Jahre Nutzungsdauer (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,932000.000000,932000.000000,,87.200000,87.200000,,1550.000000,1550.000000,,332.000000,332.000000,,kWh,storageCapacity,0,58acdf6e-f510-4403-aac9-ce07bb06668a,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.001 Elektroanlagen Wohnen (KBOB.2022v5),34.001 Elektroanlagen Wohnen (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,37000.000000,33400.000000,3630.000000,4.760000,4.700000,0.062200,53.900000,53.200000,0.718000,13.000000,9.540000,3.420000,m2,energyReferenceArea,0,d3a16f42-8e69-483c-b05e-1bc8a0685795,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.002 Elektroanlagen Büro (KBOB.2022v5),34.002 Elektroanlagen Büro (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,83200.000000,81500.000000,1660.000000,77.000000,77.000000,0.053400,106.000000,105.000000,0.811000,24.100000,22.600000,1.470000,m2,energyReferenceArea,0,da74b332-8bbb-4fdd-a33e-dd1c569696e0,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
