Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
09.005 - Dichtungsbahn Polyolefin (FPO),KBOB2016-09.005,,,,MATERIAL_LIST,1000,4430,2940,1480,0.4,0.4,0.002,23.1,22.9,0.132,5.55,2.52,3.03,kg,,9.005
09.006 - Kraftpapier,KBOB2016-09.006,,,,MATERIAL_LIST,650,3040,2950,86.2,14.5,14.5,0.002,8.1,8.0,0.102,1.69,1.65,0.0405,kg,,9.006
09.007 - Polyethylenfolie (PE),KBOB2016-09.007,,,,MATERIAL_LIST,920,3600,2240,1360,0.9,0.9,0.002,24.8,24.7,0.133,5.33,2.76,2.58,kg,,9.007
09.008 - Polyethylenvlies (PE),KBOB2016-09.008,,,,MATERIAL_LIST,920,3650,2290,1360,0.6,0.6,0.002,25.9,25.8,0.133,5.53,2.95,2.58,kg,,9.008
10.014 - Aerogel-Vlies,KBOB2016-10.014,,,,MATERIAL_LIST,150,45400,45200,181.0,13.7,13.70,0.002,231.00,231.00,0.127,48.700,48.400,0.3030,kg,,10.014
10.012 - Blähperlit,KBOB2016-10.012,,,,MATERIAL_LIST,102.5,950,920,29.8,0.2,0.17,0.001,4.5,4.5,0.068,1.010,1.000,0.0100,kg,,10.012
10.011 - Blähvermiculit,KBOB2016-10.011,,,,MATERIAL_LIST,102.5,589,563,25.8,0.1,0.05,0.002,1.85,1.80,0.051,0.437,0.428,0.0090,kg,,10.011
10.016 - Flachsfasern,KBOB2016-10.016,,,,MATERIAL_LIST,30,1630,1480,144.0,6.1,6.1,0.001,5.2,5.1,0.060,0.99,0.77,0.2220,kg,,10.016
"10.016.01 - Flachsfasern, MAGRIPOL, Premium",KBOB2016-10.016.01,,,,MATERIAL_LIST,30,1580,1440,144.0,6.0,6.0,0.001,5.1,5.0,0.060,0.96,0.74,0.2220,kg,,10.016.01
"10.017 - Flachsfasern, feuerfest",KBOB2016-10.017,,,,MATERIAL_LIST,30,2020,1870,144.0,5.6,5.6,0.001,7.4,7.3,0.060,1.42,1.20,0.2220,kg,,10.017
