GUID,KBOB_ID
{0DB3712B-3B7E-44BB-B56C-A49DDED3D465},13.002
{92B2EFB8-9F95-47EC-963D-114CBE430246},13.003
{40987109-1450-4CB8-AF0B-A9609E987AD7},13.003.01
{5A6449C2-62A0-4A42-BF6D-F1E33F5F9480},13.004
{07DD2F56-133A-4FBF-A39B-1D374248EB2A},14.002
{10ACA0B7-B75D-4F51-A3AB-976B923ACA8A},14.001
{1165EF5A-E1A2-4C0D-9307-622DEE107999},14.003
{F45B12F5-FF80-528A-2C76-A6DABD38F684},14.004
{68569EAE-A2FA-E096-D678-497AB362BCCF},14.005
{E9266136-2E91-997B-5E48-CA88AB77279C},14.006
{3FDD883B-8EDA-4735-987C-5D7CF46F1004},14.007
{AAF77F9A-FE78-41CD-BAD5-16DAA6238CC2},14.008
{78087965-417E-4763-B8B5-4A7910943363},15.001
{A5671823-5D7E-A4B1-2A9F-C32E6CA3BCB9},15.002
{464C8985-D30C-40EC-8B26-7E107BCF7F1A},15.003
{993A7227-F17D-4BFA-8B37-C62C13DC42F5},15.004
{CBDADEEB-3B93-32E4-6504-08EF289B6D9B},15.005
{3C36CA50-3B4E-44CA-8240-EB4B75A84B68},21.001
{FC7C4727-B6B9-45A9-9AB9-53EE5C039FB2},21.002
{59550658-97D9-44D0-A19E-69C1434953F0},21.003
{BA8B90B0-9DF2-4B24-9C2E-2771662E958F},21.004
{77DCCEBD-760E-4534-9BF9-975E037EB3A0},21.005
{FF8F7027-E9C1-4AD4-9E47-7DDB0F44CCEE},21.006
{F6E3D922-9AB9-43AF-8913-DAEEA4FBE722},21.007
{84ED90B6-CBDF-4F8D-845B-272346268676},21.008
{179EF39A-FF60-4845-9534-8D73EF207C47},21.009
{6927B923-0CE9-404D-B3A9-98914ED31E83},21.01
{FADC1641-F855-4888-B0BB-42B23153ED97},21.011
{12ADE34B-2318-4E01-89C0-4A690DF416D3},21.012
{77603615-1C21-4F15-A9A7-3194EA13EEE8},21.013
{555E9A89-95DF-4C98-BC55-879B4C7E4BFE},02.001.01
{288A84C2-129A-431D-B135-7F7A3F9D0CBD},02.007.01
{B71450AC-DD73-4D65-9886-F7E16035BD77},09.003.05
{91B78C9B-4DA4-44BB-9FF9-2C6EF23BF27A},09.003.06
{7734C0C2-7D2F-4604-A1A8-D8CB9E7310C7},09.003.11
{046FE9F5-65FC-48A0-802F-8E2EE600CDA6},10.004.01
{05CBB4FF-6CFE-4285-86E1-8D5EA593637D},10.004.02
{99E3A2B4-CE0F-4E7A-AECB-9AA35D2FABAF},10.004.03
{ACF64203-B038-4EAF-B297-53D8C48F8A42},10.005.01
{575A32F0-D99A-4ADE-A360-8E770639A5E3},10.006.01
