Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
4.017 - Gips-Kalk-Putz,4.017 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,925,251,209,42.7,0.06,0,0,0.68,1,0,0.158,0.145,0.0129,kg,0,4.017
4.001 - Gips-/Weissputz,4.001 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1100,242,199,42.7,0.1,0,0,0.7,1,0,0.15,0.14,0.0129,kg,0,4.001
4.003 - Kunststoffputz (Dispersionsputz),4.003 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1540,1740,1700,42.7,0.24,0,0,5.2,5,0,0.972,0.959,0.0129,kg,0,4.003
4.013 - Kalk-Zement/Zement-Kalk-Putz,4.013 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1550,396,354,42.7,0.14,0,0,0.72,1,0,0.264,0.251,0.0129,kg,0,4.013
4.004 - Lehmputz,4.004 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1800,96.5,53.8,42.7,0.019,0,0,0.173,0,0,0.033,0.02,0.0129,kg,0,4.004
4.015 - Leichtputz mineralisch,4.015 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1000,575,533,42.7,0.16,0,0,1.23,1,0,0.373,0.36,0.0129,kg,0,4.015
4.011 - Silikatputz (Dispersionssilikatputz),4.011 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1880,1880,1840,42.7,0.28,0,0,5.49,5,0,1.08,1.07,0.0129,kg,0,4.011
4.012 - Silikonharzputz,4.012 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1670,2010,1970,42.7,0.36,0,0,6.09,6,0,1.14,1.13,0.0129,kg,0,4.012
4.016 - Sumpfkalkputz,4.016 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1350,747,704,42.7,0.13,0,0,1.77,2,0,0.511,0.498,0.0129,kg,0,4.016
"4.005 - Unterlagsboden Anhydrit, 60 mm",4.005 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,216,173,42.7,0.03,0,0,0.43,0,0,0.0916,0.0788,0.0128,kg,0,4.005
"4.006 - Unterlagsboden Zement, 85 mm",4.006 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1850,206,163,42.7,0.04,0,0,0.23,0,0,0.12,0.108,0.0128,kg,0,4.006
4.007 - Wärmedämmputz EPS,4.007 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,250,965,922,42.7,0.15,0,0,1.79,2,0,0.727,0.715,0.0129,kg,0,4.007
4.014 - Weisszementputz,4.014 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1550,508,465,42.7,0.14,0,0,0.9,1,0,0.354,0.341,0.0129,kg,0,4.014
4.009 - Zementputz,4.009 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1550,392,349,42.7,0.13,0,0,0.66,1,0,0.261,0.249,0.0129,kg,0,4.009
"5.008 - Fassade, Pfosten-Riegel, Alu/Glas 1",5.008 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,349000,334000,15500,74,74,0,723,718,5,193,180,13,m2,0,5.008
"5.022 - Fassadenplatte, Aluverbund, 4 mm",5.022 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,7.1,74900,66700,8270,24,24,0,192,192,1,43,36,8,m2,0,5.022
"5.023 - Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",5.023 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,11.6,73400,58400,15000,84,84,0,198,195,3,46,33,13,m2,3,5.023
"5.025 - Fassadenplatte, Kalkstein, 30 mm",5.025 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,78,11000,7670,3330,2,2,0,26,22,4,6,5,1,m2,0,5.025
"5.024 - Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm",5.024 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2.4,31700,25700,6010,4,4,0,75,75,1,22,17,6,m2,0,5.024
5.004 - Fensterrahmen Aluminium 2,5.004 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,247000,230000,16200,77,77,0,554,552,2,133,118,15,m2,0,5.004
5.005 - Fensterrahmen Holz 2,5.005 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,78000,70800,7130,190,190,0,172,170,2,36,31,5.9,m2,8,5.005
5.006 - Fensterrahmen Holz-Metall 2,5.006 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,134000,126000,8240,179,179,0,300,298,2,66,59,7.1,m2,6,5.006
5.007 - Fensterrahmen Kunststoff/PVC 2,5.007 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,115000,103000,11800,15,15,0,328,323,5,64,53,10,m2,0,5.007
"5.001 - Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm 3",5.001 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,70800,65900,4910,10,10,0,167,165,3,44.4,40.8,3.61,m2,0,5.001
"5.009 - Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm 3",5.009 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,79000,74900,4100,13,13,0,195,192,3,48.6,45.8,2.85,m2,0,5.009
"5.01 - Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K 3",5.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,87100,82200,4910,19,18,0,216,214,3,52.2,48.5,3.61,m2,0,5.01
