Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
34.002 Elektroanlagen Büro,KBOB2022-34.002,,,,MATERIAL_LIST,,83100.0,81500.0,1660.0,76.9,76.8,0.0519,106.0,105.0,0.81,24.1,22.6,1.47,m2,,288A84C2-129A-431D-B135-7F7A3F9D0CBD,KBOB 2022 V4
34.024 Solarstromanlage1,KBOB2022-34.024,,,,MATERIAL_LIST,,2230000.0,2230000.0,,416.0,416.0,,3820.0,3820.0,,1070.0,1070.0,,kWp,,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,KBOB 2022 V4
34.025 Solarstromanlage Schrägdach1,KBOB2022-34.025,,,,MATERIAL_LIST,,2090000.0,2090000.0,,392.0,392.0,,3570.0,3570.0,,1000.0,1000.0,,kWp,,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,KBOB 2022 V4
34.026 Solarstromanlage Flachdach1,KBOB2022-34.026,,,,MATERIAL_LIST,,2370000.0,2370000.0,,439.0,439.0,,4060.0,4060.0,,1140.0,1140.0,,kWp,,D00BA00E-D63B-4109-ADC0-4D9A3367734D,KBOB 2022 V4
34.027 Solarstromanlage Fassade1,KBOB2022-34.027,,,,MATERIAL_LIST,,2890000.0,2890000.0,,490.0,490.0,,4430.0,4430.0,,1220.0,1220.0,,kWp,,8873B601-8644-4FF4-B2CF-042546B8500D,KBOB 2022 V4
"34.027.01 Fassadenunterkonstruktion, integriert, Eternit",KBOB2022-34.027.01,,,,MATERIAL_LIST,,5860.0,5810.0,44.0,4.15,4.15,0.000096,11.9,11.9,0.003,2.69,2.65,0.0422,m2,,EC993875-136D-4857-B06E-BB581EA9DA43,KBOB 2022 V4
"34.027.02 Fassadenunterkonstruktion, integriert, StoVentec Artline inlay",KBOB2022-34.027.02,,,,MATERIAL_LIST,,60300.0,60200.0,99.7,20.9,20.9,0.000218,121.0,121.0,0.0068,28.5,28.4,0.0956,m2,,08C9C771-82D9-4925-8E06-39A4367A8370,KBOB 2022 V4
"34.027.03 Fassadenunterkonstruktion, integriert, StoVentec Artline invisible",KBOB2022-34.027.03,,,,MATERIAL_LIST,,83600.0,83500.0,99.7,31.6,31.6,0.000218,167.0,167.0,0.0068,39.1,39.0,0.0956,m2,,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,KBOB 2022 V4
"34.027.04 Fassadenunterkonstruktion, integriert, mittelformatig, GFT",KBOB2022-34.027.04,,,,MATERIAL_LIST,,85300.0,84100.0,1270.0,33.1,33.1,0.0036,184.0,184.0,0.0948,42.1,40.9,1.22,m2,,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,KBOB 2022 V4
"34.027.05 Fassadenunterkonstruktion, integriert, Vogelsang",KBOB2022-34.027.05,,,,MATERIAL_LIST,,32500.0,31900.0,586.0,79.5,79.4,0.00128,53.5,53.5,0.04,14.5,13.9,0.563,m2,,45BEA46B-47E9-425F-926C-AEB31CB4A09D,KBOB 2022 V4
