Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
10.008 Steinwolle (KBOB.2022v5),10.008 Steinwolle (KBOB.2022v5),,,,MATERIAL,,1360.000000,1240.000000,116.000000,1.650000,1.640000,0.010700,3.230000,3.100000,0.133000,0.816000,0.757000,0.059200,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.008.01 Steinwolle, Flumroc (KBOB.2022v5)","10.008.01 Steinwolle, Flumroc (KBOB.2022v5)",,,,MATERIAL,,1100.000000,982.000000,116.000000,2.010000,2.000000,0.010700,2.550000,2.410000,0.133000,0.617000,0.558000,0.059200,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.015 Strohballenwand (KBOB.2022v5),10.015 Strohballenwand (KBOB.2022v5),,,,MATERIAL,,586.000000,586.000000,0.000000,4.870000,4.870000,0.000000,0.229000,0.229000,0.000000,0.095600,0.095600,0.000000,kg,0.368000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.009 Weichfaserplatte (KBOB.2022v5),10.009 Weichfaserplatte (KBOB.2022v5),,,,MATERIAL,,1400.000000,1180.000000,227.000000,7.110000,7.100000,0.012600,3.420000,3.270000,0.151000,0.725000,0.633000,0.092100,kg,0.436000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.010 Zellulosefasern (KBOB.2022v5),10.010 Zellulosefasern (KBOB.2022v5),,,,MATERIAL,,556.000000,395.000000,161.000000,0.259000,0.245000,0.013700,1.050000,0.882000,0.165000,0.280000,0.209000,0.070900,kg,0.404000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.010.01 Zellulosefasern, Isofloc (KBOB.2022v5)","10.010.01 Zellulosefasern, Isofloc (KBOB.2022v5)",,,,MATERIAL,,470.000000,309.000000,161.000000,0.240000,0.226000,0.013700,0.848000,0.683000,0.165000,0.233000,0.163000,0.070900,kg,0.404000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2022v5)","11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2022v5)",,,,MATERIAL,,41700.000000,33500.000000,8240.000000,1.550000,1.470000,0.081600,65.100000,62.800000,2.260000,18.400000,11.100000,7.240000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2022v5)","11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2022v5)",,,,MATERIAL,,25800.000000,21300.000000,4540.000000,2.070000,2.010000,0.061300,62.000000,60.500000,1.450000,13.900000,10.000000,3.870000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2022v5)","11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2022v5)",,,,MATERIAL,,38800.000000,25400.000000,13400.000000,2.560000,2.410000,0.140000,113.000000,110.000000,2.730000,26.800000,14.900000,11.900000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.004 Gussasphalt, 27.5 mm (KBOB.2022v5)","11.004 Gussasphalt, 27.5 mm (KBOB.2022v5)",,,,MATERIAL,,33700.000000,24600.000000,9070.000000,3.440000,3.280000,0.155000,126.000000,120.000000,5.400000,15.900000,14.700000,1.220000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2022v5)","11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2022v5)",,,,MATERIAL,,26600.000000,24100.000000,2460.000000,2.320000,2.190000,0.127000,46.600000,43.500000,3.040000,16.400000,15.700000,0.733000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.006 Hartbeton zweischichtig, 35 mm (KBOB.2022v5)","11.006 Hartbeton zweischichtig, 35 mm (KBOB.2022v5)",,,,MATERIAL,,27200.000000,24100.000000,3120.000000,2.350000,2.190000,0.162000,41.800000,37.900000,3.870000,16.400000,15.400000,0.932000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.007 Kautschuk, 2 mm (KBOB.2022v5)","11.007 Kautschuk, 2 mm (KBOB.2022v5)",,,,MATERIAL,,24200.000000,20400.000000,3750.000000,9.910000,9.850000,0.066500,60.800000,59.800000,0.925000,14.100000,11.000000,3.190000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2022v5)","11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2022v5)",,,,MATERIAL,,86800.000000,73100.000000,13800.000000,4.490000,3.770000,0.715000,83.100000,66.000000,17.000000,18.200000,14.000000,4.110000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.009 Kork Fertigparkett, 10.5 mm (KBOB.2022v5)","11.009 Kork Fertigparkett, 10.5 mm (KBOB.2022v5)",,,,MATERIAL,,15500.000000,13400.000000,2130.000000,39.200000,39.100000,0.100000,45.200000,43.800000,1.360000,9.070000,7.770000,1.300000,m2,2.730000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2022v5)","11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2022v5)",,,,MATERIAL,,12000.000000,7890.000000,4060.000000,8.390000,8.290000,0.097100,34.700000,33.300000,1.430000,8.280000,4.750000,3.520000,m2,0.604000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2022v5)","11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2022v5)",,,,MATERIAL,,5970.000000,3830.000000,2130.000000,12.300000,12.200000,0.100000,12.100000,10.700000,1.360000,3.260000,1.960000,1.300000,m2,0.921000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2022v5)","11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2022v5)",,,,MATERIAL,,25700.000000,6100.000000,19600.000000,1.780000,0.762000,1.020000,30.400000,6.040000,24.300000,10.400000,4.510000,5.860000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.013 Laminat, 8.5 mm (KBOB.2022v5)","11.013 Laminat, 8.5 mm (KBOB.2022v5)",,,,MATERIAL,,16600.000000,13600.000000,2970.000000,38.300000,38.200000,0.108000,42.700000,41.300000,1.450000,10.400000,8.100000,2.300000,m2,2.420000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
