Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"Elektrowärmepumpe Erdsonden (15kW, Neubau, JAZ 5.3, Strom CH) (KBOB44.010 )",KBOB2022-44.010-M,,,,MATERIAL,,125.000,,,0.92,,,0.42,,,0.03,,,m2,,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,KBOB 2022 V4
"Elektrowärmepumpe Erdsonden (15kW, Neubau, JAZ 5.3, Strom CH zertifiziert) (KBOB44.016 )",KBOB2022-44.016-M,,,,MATERIAL,,43.400,,,1.03,,,0.03,,,0.01,,,m2,,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,KBOB 2022 V4
"Elektrowärmepumpe Grundwasser (15kW, Altbau, JAZ 3.2, Strom CH) (KBOB44.003 )",KBOB2022-44.003-M,,,,MATERIAL,,181.000,,,0.92,,,0.66,,,0.05,,,m2,,45BEA46B-47E9-425F-926C-AEB31CB4A09D,KBOB 2022 V4
"Elektrowärmepumpe Grundwasser (15kW, Altbau, JAZ 3.2, Strom CH zertifiziert) (KBOB44.014 )",KBOB2022-44.014-M,,,,MATERIAL,,46.300,,,1.11,,,0.02,,,0.01,,,m2,,38A83C73-92BD-492B-B435-97332A84863E,KBOB 2022 V4
"Elektrowärmepumpe Grundwasser (15kW, Neubau, JAZ 5.3, Strom CH) (KBOB44.011 )",KBOB2022-44.011-M,,,,MATERIAL,,118.000,,,0.92,,,0.40,,,0.03,,,m2,,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,KBOB 2022 V4
"Elektrowärmepumpe Grundwasser (15kW, Neubau, JAZ 5.3, Strom CH zertifiziert) (KBOB44.017 )",KBOB2022-44.017-M,,,,MATERIAL,,36.900,,,1.03,,,0.02,,,0.01,,,m2,,a3868d35-8eaf-47d0-be53-2f7e988a1cce,KBOB 2022 V4
Flachkollektor für Warmwasser EFH (KBOB44.004 ),KBOB2022-44.004-M,,,,MATERIAL,,121.000,,,1.33,,,0.24,,,0.04,,,m2,,3c956888-cdbf-42fa-8759-172ed1f7822d,KBOB 2022 V4
Flachkollektor für Raumheizung und Warmwasser EFH (KBOB44.005 ),KBOB2022-44.005-M,,,,MATERIAL,,110.000,,,1.61,,,0.20,,,0.04,,,m2,,B787C33A-9D88-414E-84DE-3E087E3639ED,KBOB 2022 V4
Flachkollektor für Warmwasser MFH (KBOB44.006 ),KBOB2022-44.006-M,,,,MATERIAL,,49.900,,,1.15,,,0.08,,,0.02,,,kWp,,8FE3FD69-2400-4DC4-933B-E91CDE601165,KBOB 2022 V4
Röhrenkollektor für Raumheizung und Warmwasser EFH (KBOB44.007 ),KBOB2022-44.007-M,,,,MATERIAL,,93.500,,,1.54,,,0.18,,,0.03,,,kWp,,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,KBOB 2022 V4
