Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"91.144 Entsorgung, Verbundmaterialien, organisch-mineralisch (KBOB.2022v5)","91.144 Entsorgung, Verbundmaterialien, organisch-mineralisch (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,85,,,0.01,,,0.17,,,0.036,,,kg,,,97eb1ae9-6aa7-463e-b374-d0393e7677ed,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.145 Entsorgung, Spanplatte, 10% Bindemittel (KBOB.2022v5)","91.145 Entsorgung, Spanplatte, 10% Bindemittel (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,106,,,0.01,,,0.10,,,0.080,,,kg,,,24661f49-326f-4468-a418-3eb02ae57034,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.146 Entsorgung, Kleb-, Dichtstoffe, Anstriche (KBOB.2022v5)","91.146 Entsorgung, Kleb-, Dichtstoffe, Anstriche (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,236,,,0.00,,,0.06,,,0.187,,,kg,,,2bee840a-b381-44bb-94a8-768b61249e6e,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.147 Entsorgung, Dichtungsbahnen und Schutzfolien, EPDM (KBOB.2022v5)","91.147 Entsorgung, Dichtungsbahnen und Schutzfolien, EPDM (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3240,,,0.01,,,0.22,,,3.100,,,kg,,,5de93f24-3849-4152-a42c-d10d5208c228,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.148 Entsorgung, Dichtungsbahnen und Schutzfolien, Polyolefin (KBOB.2022v5)","91.148 Entsorgung, Dichtungsbahnen und Schutzfolien, Polyolefin (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2810,,,0.01,,,0.21,,,2.670,,,kg,,,0da2c550-2b2f-4c45-a6dc-241faeb1c1f2,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.149 Entsorgung, Kraft-Papier (KBOB.2022v5)","91.149 Entsorgung, Kraft-Papier (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,206,,,0.01,,,0.17,,,0.058,,,kg,,,f41438d7-0f87-40c3-8c32-60d918767c1a,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.150 Entsorgung, Korkplatte (KBOB.2022v5)","91.150 Entsorgung, Korkplatte (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,172,,,0.01,,,0.15,,,0.039,,,kg,,,4489bc31-62a9-4c01-9519-08e09867ed4c,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.151 Entsorgung, Dämmstoff, organisch, Polystyrol (KBOB.2022v5)","91.151 Entsorgung, Dämmstoff, organisch, Polystyrol (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3280,,,0.01,,,0.20,,,3.090,,,kg,,,1e192cce-42ea-4a95-b0c4-e194a105d2c3,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.152 Entsorgung, Keramikziegel (KBOB.2022v5)","91.152 Entsorgung, Keramikziegel (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,13800,,,0.72,,,17.00,,,4.110,,,m2,,,ad5b0a1d-aa8a-4a81-bc6a-8aaa57c55d32,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.153 Entsorgung, Kunststeinziegel (KBOB.2022v5)","91.153 Entsorgung, Kunststeinziegel (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,19600,,,1.02,,,24.30,,,5.860,,,m2,,,68cd58c5-afc6-4b8b-8994-cba5ad18475b,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
