Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
45.025 CH-Lieferantenmix HKN,KBOB2022-45.025,,,,MATERIAL_LIST,,265.000,,,0.90,,,1.07,,,0.05,,,,,4722E1EF-E1A5-470C-8310-F4DC0300F7F3,KBOB 2022 V4
45.021 ENTSO-E-Mix (ehemals UCTE-Mix),KBOB2022-45.021,,,,MATERIAL_LIST,,934.000,,,0.28,,,2.87,,,0.52,,,,,D4B0ECEB-1E00-4A60-A09E-D631A07E2EE3,KBOB 2022 V4
46.001 Photovoltaik,KBOB2022-46.001,,,,MATERIAL_LIST,,86.500,,,1.09,,,0.13,,,0.04,,,,,4BA8E23B-3562-494B-87B2-9D891B313B9B,KBOB 2022 V4
46.002 Photovoltaik Schrägdach,KBOB2022-46.002,,,,MATERIAL_LIST,,81.200,,,1.09,,,0.12,,,0.03,,,,,9F6858EE-648D-43AA-A72E-46D8A0B25E11,KBOB 2022 V4
46.003 Photovoltaik Flachdach,KBOB2022-46.003,,,,MATERIAL_LIST,,90.900,,,1.09,,,0.14,,,0.04,,,,,A4A06F21-D291-4225-99D1-EAEAAD11A2A3,KBOB 2022 V4
46.004 Photovoltaik Fassade,KBOB2022-46.004,,,,MATERIAL_LIST,,151.000,,,1.09,,,0.22,,,0.06,,,,,E65D5066-3C25-440A-A67B-44AACF067AD5,KBOB 2022 V4
46.009 Photovoltaik Schrägdach Mono-Si,KBOB2022-46.009,,,,MATERIAL_LIST,,110.000,,,1.09,,,0.16,,,0.04,,,,,7fc677ab-2fc6-41f9-a1a0-7524d56ea307,KBOB 2022 V4
46.010 Photovoltaik Schrägdach Multi-Si,KBOB2022-46.010,,,,MATERIAL_LIST,,112.000,,,1.09,,,0.16,,,0.04,,,,,5D3F1239-2A50-4539-8DEF-341218D0F70A,KBOB 2022 V4
46.011 Photovoltaik Schrägdach CdTe,KBOB2022-46.011,,,,MATERIAL_LIST,,79.800,,,1.08,,,0.11,,,0.03,,,,,11d36a08-6653-4405-bb9e-2dbbd8e71d8e,KBOB 2022 V4
46.012 Photovoltaik Schrägdach CIS,KBOB2022-46.012,,,,MATERIAL_LIST,,98.600,,,1.09,,,0.16,,,0.04,,,,,84E9C627-DD03-4A9F-AB74-C19202145195,KBOB 2022 V4
46.013 Photovoltaik Mono-Si in Hybridkollektor,KBOB2022-46.013,,,,MATERIAL_LIST,,111.000,,,1.09,,,0.17,,,0.05,,,,,F9C5864D-7143-472A-A4CB-7ED4DC0B447F,KBOB 2022 V4
46.005 Windkraft,KBOB2022-46.005,,,,MATERIAL_LIST,,49.400,,,1.09,,,0.07,,,0.02,,,,,7785FAA6-5F71-47CC-8753-2694318F593D,KBOB 2022 V4
46.006 Biogas,KBOB2022-46.006,,,,MATERIAL_LIST,,410.000,,,0.07,,,0.73,,,0.32,,,,,235E295B-72C0-461F-8320-6D07BA2F7021,KBOB 2022 V4
"46.007 Biogas, Landwirtschaft",KBOB2022-46.007,,,,MATERIAL_LIST,,231.000,,,0.03,,,0.11,,,0.16,,,,,7D185B01-5484-4A8B-A8F5-73CB990EE890,KBOB 2022 V4
"46.008 Kleinblockheizkraftwerk, Erdgas",KBOB2022-46.008,,,,MATERIAL_LIST,,940.000,,,0.01,,,3.37,,,0.77,,,,,C52C5B31-C765-4594-852A-0894882A8ED1,KBOB 2022 V4
"46.014 Kleinblockheizkraftwerk, Biogas",KBOB2022-46.014,,,,MATERIAL_LIST,,566.000,,,0.09,,,1.00,,,0.43,,,,,43101D99-1D7B-4082-B62D-BF509227B57E,KBOB 2022 V4
