Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
"15.001 Plexiglas (PMMA, Acrylglas) (KBOB.2022v5_r)","15.001 Plexiglas (PMMA, Acrylglas) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,1180,"14,800.000000","11,700.000000","3,090.000000",0.385000,0.371000,0.013700,40.200000,40.000000,0.210000,11.600000,8.680000,2.920000,kg,0.000000,78087965-417E-4763-B8B5-4A7910943363,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
15.002 Polyamid (PA) glasfaserverstärkt (KBOB.2022v5_r),15.002 Polyamid (PA) glasfaserverstärkt (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,1360,"15,200.000000","12,300.000000","2,910.000000",0.999000,0.979000,0.019800,40.300000,39.600000,0.687000,11.500000,8.890000,2.620000,kg,0.000000,A5671823-5D7E-A4B1-2A9F-C32E6CA3BCB9,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
15.003 Polycarbonat (PC) (KBOB.2022v5_r),15.003 Polycarbonat (PC) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,1200,"15,900.000000","12,800.000000","3,090.000000",0.426000,0.412000,0.013700,31.800000,31.600000,0.210000,11.400000,8.490000,2.920000,kg,0.000000,464C8985-D30C-40EC-8B26-7E107BCF7F1A,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
15.004 Polyester (UP) glasfaserverstärkt (KBOB.2022v5_r),15.004 Polyester (UP) glasfaserverstärkt (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,1500,"13,800.000000","10,700.000000","3,090.000000",1.510000,1.500000,0.013700,31.300000,31.100000,0.210000,9.840000,6.920000,2.920000,kg,0.000000,993A7227-F17D-4BFA-8B37-C62C13DC42F5,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
15.005 Polystyrol (PS) (KBOB.2022v5_r),15.005 Polystyrol (PS) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,1050,"8,170.000000","4,880.000000","3,280.000000",0.111000,0.097100,0.013500,24.600000,24.400000,0.208000,6.720000,3.640000,3.080000,kg,0.000000,CBDADEEB-3B93-32E4-6504-08EF289B6D9B,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.001 Abfalltrennsystem (KBOB.2022v5_r),21.001 Abfalltrennsystem (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"35,300.000000","26,600.000000","8,760.000000",16.900000,16.900000,0.053100,113.000000,112.000000,0.873000,24.200000,16.100000,8.130000,Stk.,0.000000,3C36CA50-3B4E-44CA-8240-EB4B75A84B68,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"21.002 Arbeitsplatte Chromstahl, high-end (KBOB.2022v5_r)","21.002 Arbeitsplatte Chromstahl, high-end (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"837,000.000000","836,000.000000",708.000000,452.000000,452.000000,0.037200,"1,260.000000","1,260.000000",1.740000,332.000000,332.000000,0.444000,m2,0.000000,FC7C4727-B6B9-45A9-9AB9-53EE5C039FB2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"21.003 Arbeitsplatte Chromstahl, Standard (KBOB.2022v5_r)","21.003 Arbeitsplatte Chromstahl, Standard (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"137,000.000000","136,000.000000","1,420.000000",89.200000,89.100000,0.082700,224.000000,223.000000,1.470000,56.800000,55.700000,1.050000,m2,5.090000,59550658-97D9-44D0-A19E-69C1434953F0,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.004 Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis) (KBOB.2022v5_r),21.004 Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"137,000.000000","116,000.000000","20,800.000000",6.370000,6.130000,0.237000,355.000000,350.000000,4.490000,95.500000,76.200000,19.200000,m2,0.000000,BA8B90B0-9DF2-4B24-9C2E-2771662E958F,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.005 Arbeitsplatte kunstharzbeschichtet (KBOB.2022v5_r),21.005 Arbeitsplatte kunstharzbeschichtet (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"34,200.000000","32,700.000000","1,550.000000",148.000000,148.000000,0.079600,102.000000,101.000000,1.250000,20.200000,19.000000,1.200000,m2,11.600000,77DCCEBD-760E-4534-9BF9-975E037EB3A0,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.006 Arbeitsplatte Massivholz (KBOB.2022v5_r),21.006 Arbeitsplatte Massivholz (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"27,500.000000","26,000.000000","1,480.000000",336.000000,335.000000,0.144000,60.700000,58.600000,2.090000,12.600000,11.700000,0.915000,m2,6.360000,FF8F7027-E9C1-4AD4-9E47-7DDB0F44CCEE,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.007 Arbeitsplatte Naturstein (KBOB.2022v5_r),21.007 Arbeitsplatte Naturstein (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"159,000.000000","155,000.000000","3,510.000000",73.200000,73.000000,0.182000,356.000000,352.000000,4.340000,41.100000,40.100000,1.050000,m2,0.000000,F6E3D922-9AB9-43AF-8913-DAEEA4FBE722,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.008 Dampfabzug (KBOB.2022v5_r),21.008 Dampfabzug (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"356,000.000000","338,000.000000","17,700.000000",70.600000,70.600000,0.039200,598.000000,596.000000,1.310000,151.000000,134.000000,17.100000,Stk.,0.000000,84ED90B6-CBDF-4F8D-845B-272346268676,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"21.009 Küche, Massivholz, 16-teilig (KBOB.2022v5_r)","21.009 Küche, Massivholz, 16-teilig (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"1,010,000.000000","943,000.000000","62,600.000000","5,050.000000","5,040.000000",2.490000,"1,980.000000","1,940.000000",38.300000,470.000000,418.000000,51.300000,Stk.,160.000000,179EF39A-FF60-4845-9534-8D73EF207C47,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"21.010 Küche, Metall, 16-teilig (KBOB.2022v5_r)","21.010 Küche, Metall, 16-teilig (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"6,610,000.000000","6,560,000.000000","54,300.000000",700.000000,699.000000,0.264000,"10,300.000000","10,300.000000",5.130000,"2,770.000000","2,720.000000",51.000000,Stk.,3.450000,6927B923-0CE9-404D-B3A9-98914ED31E83,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"21.011 Küche, Spanplatte, 16-teilig (KBOB.2022v5_r)","21.011 Küche, Spanplatte, 16-teilig (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"1,200,000.000000","1,110,000.000000","91,000.000000","2,530.000000","2,530.000000",3.530000,"2,870.000000","2,810.000000",56.200000,632.000000,557.000000,74.800000,Stk.,223.000000,FADC1641-F855-4888-B0BB-42B23153ED97,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.012 Spüle Chromstahl (KBOB.2022v5_r),21.012 Spüle Chromstahl (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"110,000.000000","105,000.000000","5,330.000000",41.300000,41.200000,0.035800,214.000000,213.000000,0.711000,48.600000,43.700000,4.920000,Stk.,0.000000,12ADE34B-2318-4E01-89C0-4A690DF416D3,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
21.013 Spüle Kompositwerkstoff (auf Gesteinsmehlbasis) (KBOB.2022v5_r),21.013 Spüle Kompositwerkstoff (auf Gesteinsmehlbasis) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,,"46,600.000000","46,000.000000",595.000000,16.500000,16.500000,0.030900,144.000000,143.000000,0.736000,30.700000,30.500000,0.178000,Stk.,0.000000,77603615-1C21-4F15-A9A7-3194EA13EEE8,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
