Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
10.015 Strohballenwand (KBOB.2022v5_r),10.015 Strohballenwand (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,215,586,586,0,4.87,4.87,0,0.229,0.229,0,0.0956,0.0956,0,kg,0.368,92766C16-5D0D-44ED-9F92-C15AA32DECCE,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.009 Weichfaserplatte (KBOB.2022v5_r),10.009 Weichfaserplatte (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,147.5,1400,1180,227,7.11,7.1,0.0126,3.42,3.27,0.151,0.725,0.633,0.0921,kg,0.436,B9689582-8BDE-4FE1-849D-BBBED840E410,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.010 Zellulosefasern (KBOB.2022v5_r),10.010 Zellulosefasern (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,47,556,395,161,0.259,0.245,0.0137,1.05,0.882,0.165,0.28,0.209,0.0709,kg,0.404,858771D5-96F5-42C9-AEE3-51D3BE1879F7,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.010.01 Zellulosefasern, Isofloc (KBOB.2022v5_r)","10.010.01 Zellulosefasern, Isofloc (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,47,470,309,161,0.24,0.226,0.0137,0.848,0.683,0.165,0.233,0.163,0.0709,kg,0.404,1F31C383-B2A1-490D-AB0F-B3EA2A24D804,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2022v5_r)","11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,4.55,41700,33500,8240,1.55,1.47,0.0816,65.1,62.8,2.26,18.4,11.1,7.24,m2,0,D5660BDD-EC47-4D6A-B3C1-3EA06F77EA89,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2022v5_r)","11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,3.6,25800,21300,4540,2.07,2.01,0.0613,62,60.5,1.45,13.9,10,3.87,m2,0,4E8C7D2C-2FC7-4E38-AB39-049E58E9CFCC,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2022v5_r)","11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,8.25,38800,25400,13400,2.56,2.41,0.14,113,110,2.73,26.8,14.9,11.9,m2,0,2F71DB77-CF3D-49DC-8DCA-C25203ED860B,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.004 Gussasphalt, 27.5 mm (KBOB.2022v5_r)","11.004 Gussasphalt, 27.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,63.3,33700,24600,9070,3.44,3.28,0.155,126,120,5.4,15.9,14.7,1.22,m2,0,B0C749DA-292B-417D-8E38-65766E052FBC,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2022v5_r)","11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,57.8,26600,24100,2460,2.32,2.19,0.127,46.6,43.5,3.04,16.4,15.7,0.733,m2,0,FC78B567-FFF2-432F-98A2-07A1420AA8BD,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.006 Hartbeton zweischichtig, 35 mm (KBOB.2022v5_r)","11.006 Hartbeton zweischichtig, 35 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,73.5,27200,24100,3120,2.35,2.19,0.162,41.8,37.9,3.87,16.4,15.4,0.932,m2,0,160EF365-BB74-41C8-AF40-5256811D83C3,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
