Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
10.003 Phenolharz (PF) (KBOB.2016v1),10.003 Phenolharz (PF) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,40.000,kg,6490.000,5310.000,1180.000,1.000,1.000,0.086,35.000,34.000,1.030,6.230,4.190,2.040,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.004 Polystyrol expandiert (EPS) (KBOB.2016v1),10.004 Polystyrol expandiert (EPS) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,27.500,kg,5180.000,3610.000,1570.000,0.000,0.000,0.002,30.000,30.000,0.133,7.640,4.460,3.190,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.005 Polystyrol extrudiert (XPS) (KBOB.2016v1),10.005 Polystyrol extrudiert (XPS) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,37.500,kg,10800.000,9240.000,1570.000,1.000,1.000,0.002,29.100,28.900,0.133,14.500,11.300,3.190,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.006 Polyurethan (PUR/PIR) (KBOB.2016v1),10.006 Polyurethan (PUR/PIR) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,30.000,kg,6630.000,5110.000,1510.000,1.000,1.000,0.010,30.000,30.000,0.640,7.520,4.800,2.720,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.016.01 Flachsfasern, MAGRIPOL, Premium (KBOB.2016v1)","10.016.01 Flachsfasern, MAGRIPOL, Premium (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,30.000,kg,1580.000,1440.000,144.000,6.000,6.000,0.001,5.100,5.000,0.060,0.960,0.740,0.222,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.007 Schaumglas (KBOB.2016v1),10.007 Schaumglas (KBOB.2016v1),KBOB 2016 v1,MATERIAL,132.500,kg,1040.000,1020.000,18.600,1.900,1.900,0.001,5.300,5.300,0.068,1.170,1.160,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.017.01 Flachsfasern, feuerfest, MAGRIPOL, Premium+ (KBOB.2016v1)","10.017.01 Flachsfasern, feuerfest, MAGRIPOL, Premium+ (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,30.000,kg,1970.000,1820.000,144.000,5.500,5.500,0.001,7.200,7.200,0.060,1.390,1.170,0.222,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.008 Steinwolle (KBOB.2016v1),10.008 Steinwolle (KBOB.2016v1),KBOB 2016 v1,MATERIAL,96.000,kg,1140.000,1110.000,29.800,0.300,0.300,0.001,4.300,4.300,0.068,1.130,1.120,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.009 Weichfaserplatte (KBOB.2016v1),10.009 Weichfaserplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,147.500,kg,860.000,816.000,43.600,7.000,7.000,0.001,3.500,3.500,0.041,0.665,0.624,0.041,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.010 Zellulosefasern (KBOB.2016v1),10.010 Zellulosefasern (KBOB.2016v1),KBOB 2016 v1,MATERIAL,47.500,kg,418.000,332.000,86.200,0.240,0.240,0.002,1.030,0.930,0.102,0.257,0.216,0.041,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.011 Blähvermiculit (KBOB.2016v1),10.011 Blähvermiculit (KBOB.2016v1),KBOB 2016 v1,MATERIAL,102.500,kg,589.000,563.000,25.800,0.100,0.050,0.002,1.850,1.800,0.051,0.437,0.428,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.012 Blähperlit (KBOB.2016v1),10.012 Blähperlit (KBOB.2016v1),KBOB 2016 v1,MATERIAL,102.500,kg,950.000,920.000,29.800,0.200,0.170,0.001,4.500,4.500,0.068,1.010,1.000,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.013 Schaumglasschotter (KBOB.2016v1),10.013 Schaumglasschotter (KBOB.2016v1),KBOB 2016 v1,MATERIAL,137.500,kg,323.000,309.000,14.200,0.300,0.300,0.000,1.700,1.700,0.054,0.160,0.150,0.007,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.014 Aerogel-Vlies (KBOB.2016v1),10.014 Aerogel-Vlies (KBOB.2016v1),KBOB 2016 v1,MATERIAL,150.000,kg,45400.000,45200.000,181.000,13.700,13.700,0.002,231.000,231.000,0.127,48.700,48.400,0.303,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.015 Strohballenwand (KBOB.2016v1),10.015 Strohballenwand (KBOB.2016v1),KBOB 2016 v1,MATERIAL,215.000,kg,562.000,562.000,0.000,4.800,4.800,0.000,0.200,0.200,0.000,0.090,0.090,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.016 Flachsfasern (KBOB.2016v1),10.016 Flachsfasern (KBOB.2016v1),KBOB 2016 v1,MATERIAL,30.000,kg,1630.000,1480.000,144.000,6.100,6.100,0.001,5.200,5.100,0.060,0.990,0.770,0.222,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.013.01 Schaumglasschotter, Misapor (KBOB.2016v1)","10.013.01 Schaumglasschotter, Misapor (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,137.500,kg,276.000,262.000,14.200,0.200,0.200,0.000,1.600,1.500,0.054,0.130,0.120,0.007,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.017 Flachsfasern, feuerfest (KBOB.2016v1)","10.017 Flachsfasern, feuerfest (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,30.000,kg,2020.000,1870.000,144.000,5.600,5.600,0.001,7.400,7.300,0.060,1.420,1.200,0.222,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.008.01 Steinwolle, Flumroc (KBOB.2016v1)","10.008.01 Steinwolle, Flumroc (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,96.000,kg,1040.000,1010.000,29.800,0.300,0.300,0.001,4.000,3.900,0.068,1.060,1.050,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.009.01 Weichfaserplatte, Pavatex (KBOB.2016v1)","10.009.01 Weichfaserplatte, Pavatex (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,140.000,kg,691.000,648.000,43.600,6.900,6.900,0.001,3.100,3.100,0.041,0.450,0.400,0.041,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.010.01 Zellulosefasern, Isofloc (KBOB.2016v1)","10.010.01 Zellulosefasern, Isofloc (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,47.500,kg,339.000,253.000,86.200,0.230,0.230,0.002,0.790,0.680,0.102,0.203,0.163,0.041,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
13.001 Acrylnitril-Butadien-Styrol (ABS) (KBOB.2016v1),13.001 Acrylnitril-Butadien-Styrol (ABS) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1050.000,kg,5380.000,3890.000,1480.000,0.000,0.000,0.002,29.000,29.000,0.132,7.940,4.910,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
13.002 Polyethylen (PE) (KBOB.2016v1),13.002 Polyethylen (PE) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,960.000,kg,3410.000,1920.000,1480.000,0.500,0.500,0.002,23.200,23.100,0.132,5.410,2.380,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
13.003 Polypropylen (PP) (KBOB.2016v1),13.003 Polypropylen (PP) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,910.000,kg,3430.000,1940.000,1480.000,0.400,0.400,0.002,22.700,22.600,0.132,5.430,2.400,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"13.003.01 Polypropylen (PP), rezykliert, Rehau (KBOB.2016v1)","13.003.01 Polypropylen (PP), rezykliert, Rehau (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,910.000,kg,2840.000,1360.000,1480.000,0.800,0.800,0.002,9.000,8.900,0.132,4.600,1.570,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
13.004 Polyvinylchlorid (PVC) (KBOB.2016v1),13.004 Polyvinylchlorid (PVC) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1390.000,kg,4400.000,3220.000,1180.000,0.600,0.600,0.090,19.500,18.500,1.030,4.420,2.380,2.040,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
13.005 Gusseisen (KBOB.2016v1),13.005 Gusseisen (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7850.000,kg,4200.000,4200.000,0.000,0.200,0.200,0.000,6.600,6.600,0.000,1.510,1.510,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"15.001 Plexiglas (PMMA, Acrylglas) (KBOB.2016v1)","15.001 Plexiglas (PMMA, Acrylglas) (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1180.000,kg,9050.000,7570.000,1480.000,0.000,0.000,0.002,40.000,40.000,0.132,11.700,8.680,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
15.002 Polyamid (PA) glasfaserverstärkt (KBOB.2016v1),15.002 Polyamid (PA) glasfaserverstärkt (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1360.000,kg,7730.000,7350.000,377.000,1.000,1.000,0.002,40.000,40.000,0.129,9.600,8.890,0.714,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
15.003 Polycarbonat (PC) (KBOB.2016v1),15.003 Polycarbonat (PC) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1200.000,kg,8240.000,6760.000,1480.000,0.000,0.000,0.002,32.000,32.000,0.132,11.500,8.490,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
15.004 Polyester (UP) glasfaserverstärkt (KBOB.2016v1),15.004 Polyester (UP) glasfaserverstärkt (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1500.000,kg,9200.000,8180.000,1030.000,1.500,1.500,0.005,31.600,31.400,0.193,8.850,6.870,1.980,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
15.005 Polystyrol (PS) (KBOB.2016v1),15.005 Polystyrol (PS) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1050.000,kg,4070.000,2580.000,1480.000,0.000,0.000,0.000,24.500,24.400,0.132,6.680,3.640,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
4.001 Gips-/Weissputz (KBOB.2016v1),4.001 Gips-/Weissputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1100.000,kg,146.000,129.000,17.200,0.100,0.100,0.001,0.700,0.600,0.064,0.150,0.140,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
4.003 Kunststoffputz (Dispersionsputz) (KBOB.2016v1),4.003 Kunststoffputz (Dispersionsputz) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1540.000,kg,1230.000,1210.000,17.200,0.230,0.230,0.001,5.250,5.190,0.064,0.951,0.942,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
4.009 Zementputz (KBOB.2016v1),4.009 Zementputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1550.000,kg,255.000,238.000,17.200,0.120,0.120,0.001,0.730,0.660,0.064,0.269,0.260,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.001 Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm (KBOB.2016v1)","05.001 Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,46800.000,44600.000,2180.000,10.000,10.000,0.020,171.000,170.000,1.350,43.700,39.800,3.880,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.002 Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)","05.002 Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,84000.000,80100.000,3900.000,19.000,19.000,0.020,335.000,333.000,2.050,78.200,71.100,7.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.003 Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm (KBOB.2016v1)","05.003 Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,83100.000,80100.000,2980.000,22.000,22.000,0.030,327.000,325.000,1.990,77.300,72.100,5.250,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.004 Fensterrahmen Aluminium (KBOB.2016v1),05.004 Fensterrahmen Aluminium (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,406000.000,387000.000,18600.000,216.000,216.000,0.000,1600.000,1600.000,3.000,362.000,326.000,36.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.004.01 Fensterrahmen Aluminium, WICLINE 75evo (KBOB.2016v1)","05.004.01 Fensterrahmen Aluminium, WICLINE 75evo (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,259000.000,248000.000,10900.000,161.000,161.000,0.047,862.000,860.000,1.590,203.000,182.000,21.400,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.005 Fensterrahmen Holz (KBOB.2016v1),05.005 Fensterrahmen Holz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,217000.000,201000.000,15900.000,711.000,711.000,0.100,573.000,565.000,8.100,128.000,109.000,19.600,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.006 Fensterrahmen Holz-Aluminium (KBOB.2016v1),05.006 Fensterrahmen Holz-Aluminium (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,319000.000,301000.000,18400.000,720.000,720.000,0.100,951.000,943.000,7.800,217.000,191.000,25.700,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.007 Fensterrahmen Kunststoff/PVC (KBOB.2016v1),05.007 Fensterrahmen Kunststoff/PVC (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,450000.000,416000.000,33200.000,69.000,67.000,2.000,1520.000,1490.000,29.000,285.000,228.000,57.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.008 Fassade, Pfosten-Riegel, Alu/Glas (KBOB.2016v1)","05.008 Fassade, Pfosten-Riegel, Alu/Glas (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,250000.000,242000.000,7250.000,66.000,66.000,0.000,760.000,757.000,3.000,177.000,163.000,14.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.009 Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm (KBOB.2016v1)","05.009 Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,51300.000,49600.000,1730.000,12.000,12.000,0.020,199.000,198.000,1.300,47.900,44.900,2.980,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.010 Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)","05.010 Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,57500.000,55300.000,2180.000,17.000,17.000,0.020,226.000,225.000,1.350,51.100,47.200,3.880,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.011 Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)","05.011 Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,94700.000,90800.000,3900.000,27.000,27.000,0.020,390.000,388.000,2.050,85.600,78.400,7.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.012 Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm (KBOB.2016v1)","05.012 Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,74300.000,70900.000,3450.000,15.000,15.000,0.030,261.000,259.000,2.040,66.800,60.700,6.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.013 Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)","05.013 Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,95800.000,92300.000,3450.000,30.000,30.000,0.030,371.000,369.000,2.040,81.600,75.400,6.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.014 Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)","05.014 Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,106000.000,103000.000,3450.000,37.000,37.000,0.030,426.000,424.000,2.040,88.900,82.700,6.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.015 Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)","05.015 Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,112000.000,106000.000,5170.000,25.000,25.000,0.030,424.000,422.000,2.740,101.000,92.000,9.450,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.016 Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)","05.016 Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,124000.000,118000.000,5170.000,32.000,32.000,0.030,484.000,481.000,2.740,110.000,100.000,9.450,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.017 Sonnenschutz, Lamellenstoren motorisiert (KBOB.2016v1)","05.017 Sonnenschutz, Lamellenstoren motorisiert (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,111000.000,110000.000,633.000,32.000,32.000,0.000,263.000,262.000,0.000,57.000,56.000,1.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.018 Sonnenschutz, Ausstellstoren motorisiert (KBOB.2016v1)","05.018 Sonnenschutz, Ausstellstoren motorisiert (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,141000.000,140000.000,831.000,36.000,36.000,0.000,297.000,297.000,0.000,65.000,64.000,1.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.019 Sonnenschutz, Rollladen motorisiert (KBOB.2016v1)","05.019 Sonnenschutz, Rollladen motorisiert (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,138000.000,137000.000,284.000,45.000,45.000,0.000,331.000,331.000,0.000,72.000,72.000,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.020 Putzträgerplatte kunstharzgebunden 13 mm (KBOB.2016v1),05.020 Putzträgerplatte kunstharzgebunden 13 mm (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,11200.000,11000.000,108.000,3.640,3.640,0.004,44.500,44.100,0.403,8.010,7.950,0.057,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
05.021 Putzträgerplatte mineralisch gebunden 12.5 mm (KBOB.2016v1),05.021 Putzträgerplatte mineralisch gebunden 12.5 mm (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,7210.000,6970.000,248.000,2.370,2.360,0.009,19.300,18.400,0.923,6.180,6.050,0.131,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.022 Fassadenplatte, Aluverbund, 4 mm (KBOB.2016v1)","05.022 Fassadenplatte, Aluverbund, 4 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,45400.000,41100.000,4240.000,25.000,25.000,0.000,200.000,199.000,1.000,44.000,36.000,9.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.023 Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm (KBOB.2016v1)","05.023 Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,49800.000,43500.000,6310.000,90.000,90.000,0.000,198.000,196.000,2.000,45.000,33.000,11.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.024 Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm (KBOB.2016v1)","05.024 Fassadenplatte, Kunststoff glasfaserverstärkt (GFK), 1.6 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,22100.000,19600.000,2460.000,4.000,4.000,0.000,76.000,75.000,0.000,21.000,17.000,5.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"05.025 Fassadenplatte, Kalkstein, 30 mm (KBOB.2016v1)","05.025 Fassadenplatte, Kalkstein, 30 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,6160.000,4210.000,1960.000,1.920,1.770,0.145,25.600,21.800,3.750,5.130,4.450,0.677,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2016v1)","11.001 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,28900.000,25500.000,3430.000,1.000,1.000,0.020,65.000,64.000,1.580,17.200,11.100,6.090,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2016v1)","11.002 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,21100.000,18200.000,2980.000,2.000,2.000,0.020,62.000,61.000,1.540,15.200,10.000,5.190,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2016v1)","11.003 Gummigranulat versiegelt, 7.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,23500.000,16700.000,6780.000,2.000,2.000,0.040,112.000,110.000,2.150,27.500,14.900,12.600,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.004 Gussasphalt, 27.5 mm (KBOB.2016v1)","11.004 Gussasphalt, 27.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,24500.000,16800.000,7680.000,3.000,3.000,0.100,126.000,120.000,5.600,14.100,12.900,1.170,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2016v1)","11.005 Hartbeton einschichtig, 27.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,18800.000,18600.000,214.000,2.000,2.000,0.000,50.000,49.000,0.510,16.900,16.800,0.085,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.006 Hartbeton zweischichtig, 35 mm (KBOB.2016v1)","11.006 Hartbeton zweischichtig, 35 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,19400.000,19100.000,270.000,2.000,2.000,0.010,45.000,44.000,0.640,16.800,16.700,0.107,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.007 Kautschuk, 2 mm (KBOB.2016v1)","11.007 Kautschuk, 2 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,14900.000,12300.000,2600.000,10.000,10.000,0.020,60.000,60.000,0.540,15.700,10.900,4.780,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2016v1)","11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,44200.000,43700.000,464.000,4.000,4.000,0.030,69.000,68.000,0.910,14.000,13.800,0.163,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
