Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
03.005 Flachglas beschichtet (KBOB.2016v1),03.005 Flachglas beschichtet (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2500.000,kg,1350.000,1340.000,18.600,0.200,0.200,0.001,4.700,4.700,0.068,1.160,1.150,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.006 Flachglas unbeschichtet (KBOB.2016v1),03.006 Flachglas unbeschichtet (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2500.000,kg,1140.000,1120.000,18.600,0.100,0.100,0.001,4.100,4.000,0.068,1.100,1.090,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.007 Gipsfaserplatte (KBOB.2016v1),03.007 Gipsfaserplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1200.000,kg,488.000,470.000,17.500,0.090,0.090,0.001,2.460,2.400,0.065,0.537,0.527,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.008 Gipskartonplatte (KBOB.2016v1),03.008 Gipskartonplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,850.000,kg,314.000,296.000,17.300,0.080,0.080,0.001,1.350,1.280,0.065,0.293,0.284,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.009 Hartsandsteinplatte (KBOB.2016v1),03.009 Hartsandsteinplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2500.000,kg,75.000,49.900,25.100,0.040,0.040,0.002,0.300,0.254,0.048,0.034,0.025,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.010 Keramik-/Steinzeugplatte (KBOB.2016v1),03.010 Keramik-/Steinzeugplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2600.000,kg,2460.000,2430.000,25.800,0.200,0.200,0.002,3.800,3.800,0.051,0.777,0.768,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.011 Kies gebrochen (KBOB.2016v1),03.011 Kies gebrochen (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2000.000,kg,64.900,39.800,25.100,0.007,0.005,0.002,0.084,0.036,0.048,0.013,0.005,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.012 Rundkies (KBOB.2016v1),03.012 Rundkies (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2000.000,kg,61.000,35.900,25.100,0.003,0.002,0.002,0.064,0.017,0.048,0.012,0.003,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.013 Sand (KBOB.2016v1),03.013 Sand (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2000.000,kg,65.700,35.900,29.700,0.003,0.002,0.001,0.081,0.017,0.064,0.014,0.003,0.011,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.014 Sanitärkeramik (KBOB.2016v1),03.014 Sanitärkeramik (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2000.000,kg,3030.000,3000.000,25.800,0.400,0.400,0.002,11.200,11.100,0.051,2.320,2.310,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.015 Tonziegel (KBOB.2016v1),03.015 Tonziegel (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1700.000,kg,300.000,274.000,25.800,0.030,0.030,0.002,1.120,1.070,0.051,0.375,0.366,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.016 Gips-Wandbauplatte / Vollgipsplatte (KBOB.2016v1),03.016 Gips-Wandbauplatte / Vollgipsplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1000.000,kg,343.000,326.000,17.200,0.030,0.030,0.001,1.440,1.370,0.064,0.307,0.298,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.017 Kalksteinplatte (KBOB.2016v1),03.017 Kalksteinplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2600.000,kg,79.000,53.900,25.100,0.020,0.020,0.002,0.330,0.280,0.048,0.066,0.057,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.020 Stampflehm (KBOB.2016v1),03.020 Stampflehm (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2000.000,kg,39.000,25.000,14.200,0.000,0.000,0.000,0.100,0.100,0.054,0.020,0.020,0.007,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
